"Dynamic content","Динамический контент"
"Posts","Посты"
"Categories","Категории"
"Add Post","Добавить пост"
"New Post","Новый пост"
"Save Post","Сохранить пост"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Name","Имя"
"Description","Описание"
"Action","Действия"
"Short Description","Короткое описание"
"Text","Текст"
"Yes","Да"
"No","Нет"
"Show / Hide Editor","Показать/скрыть редактор"
"Insert Widget...","Виджет..."
"Insert Image...","Картинка..."
"Insert Variable...","Переменная..."
"Created Date","Дата создания"
"Start Date","Дата начала"
"End Date","Дата конца"
"Category","Категория"
"None","Нет"
"File","Файл"
"Image","Картинка"
"Current file: %s","Текущий файл: %s"
"Delete Post","Удалить пост"
"Edit Post '%s'","Пост '%s'"
"Post was successfolly saved.","Пост сохранен."
"Post was successfully deleted.","Пост удален."
"Add Category","Добавить категорию"
"Parent Category","Родительская категория"
"Save Category","Сохранить категорию"
"New Category","Новая категория"
"Category was successfully saved.","Категория сохранена."
"Edit","Редактировать"
"Edit Category '%s'","Категория '%s'"
"Delete Category","Удалить категорию"
"Category was successfully deleted.","Категория удалена."
